"filename", "language", "JSON", "JSON with Comments", "SCSS", "Markdown", "TypeScript", "HTML", "JavaScript", "toml", "pip requirements", "Python", "comment", "blank", "total"
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\Pipfile", "toml", 0, 0, 0, 0, 0, 0, 0, -8, 0, 0, 0, -4, -12
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\affectations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\affectations\admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -1, -5, -9
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\affectations\apps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, -3, -6
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\affectations\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, -25, -1, -7, -33
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\affectations\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\affectations\models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -1, -5, -17
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\affectations\serializer.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, -4, -16
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\affectations\tests.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -2, -4
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\affectations\urls.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, -3, -9
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\affectations\views.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, -77, -2, -13, -92
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\centres_cout\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\centres_cout\admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -1, -5, -9
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\centres_cout\apps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, -3, -6
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\centres_cout\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, -25, -1, -7, -33
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\centres_cout\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\centres_cout\models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, 0, -2, -13
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\centres_cout\serializer.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, -4, -16
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\centres_cout\tests.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -2, -4
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\centres_cout\urls.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, -3, -9
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\centres_cout\views.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, -78, -2, -13, -93
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\contrats\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\contrats\admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -1, -4, -8
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\contrats\apps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, -3, -6
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\contrats\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, -25, -1, -7, -33
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\contrats\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\contrats\models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -1, -4, -16
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\contrats\serializer.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, -4, -16
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\contrats\tests.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -2, -4
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\contrats\urls.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, -3, -9
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\contrats\views.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, -77, -2, -13, -92
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\directions\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\directions\admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -2, -5, -10
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\directions\apps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, -3, -6
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\directions\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, -25, -1, -7, -33
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\directions\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\directions\models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -1, -4, -16
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\directions\serializer.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, -4, -16
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\directions\tests.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -2, -4
